eef,marker
"0.5226954482760109,-0.7478120062461837,0.5680938990025212,0.47240250772592884,0.49505232970149493,-0.5119456266096699,0.5192983120968225","-0.19822100705720988,0.05903406097535054,0.538838699508618,0.9885803778379859,0.009992213499961503,-0.14775189454433119,-0.027899281023655506"
"0.5212297527964668,-0.6975219611789125,0.5649631255458274,0.4723738621403059,0.4950213380668994,-0.5119219169713016,0.5193772811257109","-0.19822100705720988,0.05903406097535054,0.538838699508618,0.9885803778379859,0.009992213499961503,-0.14775189454433119,-0.027899281023655506"
"0.5204676978355224,-0.6720926787840402,0.563419246422653,0.47240161259585967,0.49492420733571935,-0.5119338750719769,0.5194328185277968","-0.1981753167238603,0.1344271301314481,0.5402915508469248,0.9881618055796838,0.009853832950851682,-0.14823894732693813,-0.038266989234552094"
"0.4666067912717521,-0.673624655959728,0.5641974614323599,-0.44622394889222294,-0.5186975524593358,0.5379950119105688,-0.4923397238361662","-0.08335004200449439,0.13482379013660445,0.5185178124872266,0.9815734192991845,0.008099088402849269,-0.18768332620261713,-0.034971364827127926"
"0.46861997372520026,-0.7433356089015524,0.5686328044889831,-0.4462983974578644,-0.5186845144328266,0.53801989281866,-0.49225878341124857","-0.0828650109053893,0.06511352229681087,0.518754226921736,0.9814354722095083,0.0078242573456195,-0.1883225771187423,-0.03546550201596012"
"0.4003134779026028,-0.7448478935705546,0.5768452836748234,-0.44621754156822124,-0.5187378428943205,0.5379690684425619,-0.49233143038526656","-0.015182842155533227,0.06476632526858966,0.5055849995777842,0.9790257787620034,0.007444043791954324,-0.19860703095300394,-0.04481470726791282"
"0.40198466290959545,-0.7262889313318756,0.5659306373803794,-0.44564988815477424,-0.5278112900636168,0.5361323623880557,-0.4851530781817431","-0.013295003264126831,0.09441299691456256,0.492549285146469,0.9776267774274887,0.011410863938604727,-0.20847981310989278,-0.025531231199892198"
"0.46557096914114043,-0.6889972229383708,0.5555420287768323,-0.44563968902042966,-0.5278547908408909,0.5361085752264356,-0.4851414050818331","-0.07742651455928809,0.13001902034424467,0.5066700872035967,0.9803209965533565,0.011287189460085013,-0.19539113364578653,-0.02580015432784395"
"0.5615182715273113,-0.6850803008450101,0.5732011789727898,0.4721683225553711,0.5041492716242569,-0.5105450473475274,0.5120882167409141","-0.2253711331351606,0.1296028954861059,0.5613668280922366,0.9868909606530528,0.012644532964394216,-0.1581892831240889,-0.02936832089333191"
"0.45618931260501105,-0.7614392720234723,0.5642055200512144,0.5196418614724506,0.5139942185854643,-0.46753690391192215,0.4971835903834906","-0.16839226413310396,0.1258983420472827,0.5092006746955112,0.9922781494257175,0.016123978123928257,-0.12026947755916846,0.02567769984592434"
"0.3967815406252179,-0.7866082574563802,0.5603243172161804,0.5196100385182038,0.5141047322958323,-0.46747975332336444,0.4971563258522089","-0.1106066246492663,0.10206595857215611,0.4899484733905542,0.9927176896806905,0.016081323919989288,-0.11550232194785291,0.030202536990578736"
"0.42518476640639985,-0.8214949424564297,0.5588699140942928,0.5196668848581314,0.514004430610579,-0.46756673097770646,0.4971188250080271","-0.1370526030990799,0.06653387759894874,0.4976399431206916,0.9923778170800723,0.016201855128848013,-0.11744835437659694,0.033610297707748434"
"0.34435576799476303,-0.8233686448603262,0.5559929490487409,0.5196709000716467,0.5140339482144418,-0.46750240676814403,0.49714460207045397","-0.05897149128765261,0.066494732287907,0.4780538858933961,0.9932918216290347,0.015769704016602975,-0.11176818350211273,0.025110688495952663"
"0.29037116385024087,-0.8222346549283986,0.5205620456980219,0.5196341093354423,0.514039948200841,-0.4675755611703131,0.4971080553210793","-0.012876602625495379,0.06681879227039517,0.438283881495099,0.9956884132192617,0.011602562769100584,-0.09159917966597558,-0.008919338687270356"
"0.2889375245875538,-0.762618126705402,0.5247415546224531,0.5195442276746917,0.5140567765076836,-0.467544287170853,0.4972140037753728","-0.015840227973363416,0.12537225912302638,0.41784093080085766,0.9994554217105611,0.017511764294801644,-0.024868202234507128,0.012797290426943627"
"0.3193554162231661,-0.7612488477190199,0.5492131263061967,0.5389628483012132,0.4934891501851485,-0.4481681419838208,0.5149105002923844","-0.08219035962679838,0.12804738124664705,0.46553071507404975,0.9964697116617122,0.015146843772062707,-0.07471266525656949,0.03516680984719424"
"0.37573597347975013,-0.7602709442256362,0.5556029788121493,0.5390196798901585,0.4934803696039213,-0.4481794749692026,0.5148495583401221","-0.13687878175522053,0.12814855647266019,0.48341501648397067,0.9964256162465731,0.015235318900088965,-0.07895786996052714,0.02587529935954653"
"0.4240612827404903,-0.7305108538871982,0.5580909390138494,0.49908714104711366,0.44810464389186627,-0.4921660209235762,0.5548755370461167","-0.18208633506846422,0.06133774197041801,0.5034283958546495,0.9955698084525705,-0.0015558791968717377,-0.0844740785765783,-0.04126094747185183"
"0.3067632729996012,-0.6512950779053795,0.5366947322350318,0.49896863165418204,0.4480255733175006,-0.4922291425296793,0.5549899652454764","-0.06910133599103224,0.14253615047205798,0.4699459617719389,0.9962920369004683,-0.0006881149313087169,-0.06878208997820728,-0.05167908479053371"
"0.2563790876977924,-0.726993131076319,0.5671901163999522,0.49901453326146045,0.44807473584518637,-0.4922543670567345,0.5548866233787649","-0.01628680190197948,0.06540981208340678,0.4692505971128,0.9996462655202241,0.00017885215419882338,-0.023111242636990978,-0.013159874891147167"
